sample_num,left_count,right_count
Logging stopped. Total samples: 3000, Time: 30000 ms
844,37128,11512
845,37083,11552
846,37038,11592
847,36994,11632
848,36949,11672
849,36904,11712
850,36860,11752
851,36815,11792
852,36770,11832
853,36726,11872
854,36681,11912
855,36636,11952
856,36592,11992
857,36547,12032
858,36502,12072
859,36458,12112
860,36413,12152
861,36368,12192
862,36324,12232
863,36279,12272
864,36235,12312
865,36190,12352
866,36145,12392
867,36101,12432
868,36056,12472
869,36012,12512
870,35967,12552
871,35922,12592
872,35877,12632
873,35833,12672
874,35788,12713
875,35743,12753
876,35699,12793
877,35654,12833
878,35609,12873
879,35565,12913
880,35520,12953
881,35475,12993
882,35430,13033
883,35386,13073
884,35341,13113
885,35296,13153
886,35252,13193
887,35207,13233
888,35162,13273
889,35118,13313
890,35073,13353
891,35028,13393
892,34984,13433
893,34939,13473
894,34894,13513
895,34850,13553
896,34805,13593
897,34760,13633
898,34716,13673
899,34671,13713
900,34626,13753
901,34582,13793
902,34537,13833
903,34492,13873
904,34448,13913
905,34403,13953
906,34358,13993
907,34314,14033
908,34269,14073
909,34224,14113
910,34180,14153
911,34135,14193
912,34090,14233
913,34046,14273
914,34001,14313
915,33956,14353
916,33912,14393
917,33867,14433
918,33822,14473
919,33777,14513
920,33732,14553
921,33688,14593
922,33643,14633
923,33598,14673
924,33554,14713
925,33509,14753
926,33464,14793
927,33420,14833
928,33375,14873
929,33330,14913
930,33286,14953
931,33241,14993
932,33196,15033
933,33152,15073
934,33107,15113
935,33062,15153
936,33018,15193
937,32973,15233
938,32928,15273
939,32884,15313
940,32839,15353
941,32794,15393
942,32750,15433
943,32705,15473
944,32660,15513
945,32616,15553
946,32571,15593
947,32526,15633
948,32482,15673
949,32437,15713
950,32392,15753
951,32347,15793
952,32302,15833
953,32258,15873
954,32213,15913
955,32168,15953
956,32124,15993
957,32079,16033
958,32034,16073
959,31990,16113
960,31945,16153
961,31900,16193
962,31856,16233
963,31811,16273
964,31766,16313
965,31721,16353
966,31677,16393
967,31632,16433
968,31587,16473
969,31542,16513
970,31498,16553
971,31453,16593
972,31408,16633
973,31364,16673
974,31319,16713
975,31274,16753
976,31230,16793
977,31185,16833
978,31140,16873
979,31095,16913
980,31051,16953
981,31006,16993
982,30961,17033
983,30917,17073
984,30872,17113
985,30827,17153
986,30782,17193
987,30738,17233
988,30693,17273
989,30648,17313
990,30604,17353
991,30559,17393
992,30514,17433
993,30470,17473
994,30425,17513
995,30380,17553
996,30335,17594
997,30290,17633
998,30246,17673
999,30201,17713
1000,30156,17753
1001,30112,17793
1002,30067,17833
1003,30022,17873
1004,29978,17913
1005,29933,17953
1006,29888,17993
1007,29843,18033
1008,29799,18073
1009,29754,18113
1010,29709,18153
1011,29664,18193
1012,29620,18233
1013,29575,18273
1014,29530,18313
1015,29486,18353
1016,29441,18393
1017,29396,18433
1018,29351,18473
1019,29306,18514
1020,29262,18553
1021,29217,18594
1022,29172,18634
1023,29128,18673
1024,29083,18714
1025,29038,18754
1026,28994,18794
1027,28949,18834
1028,28904,18874
1029,28860,18914
1030,28815,18954
1031,28770,18994
1032,28725,19034
1033,28680,19074
1034,28636,19114
1035,28591,19154
1036,28546,19194
1037,28502,19234
1038,28457,19274
1039,28412,19314
1040,28368,19354
1041,28323,19394
1042,28278,19434
1043,28233,19474
1044,28189,19514
1045,28144,19554
1046,28099,19594
1047,28054,19634
1048,28010,19674
1049,27965,19715
1050,27920,19755
1051,27876,19795
1052,27831,19835
1053,27786,19875
1054,27742,19915
1055,27697,19955
1056,27652,19995
1057,27608,20035
1058,27563,20075
1059,27518,20115
1060,27473,20155
1061,27428,20195
1062,27384,20235
1063,27339,20275
1064,27294,20315
1065,27250,20355
1066,27205,20395
1067,27160,20435
1068,27116,20475
1069,27071,20515
1070,27026,20555
1071,26982,20595
1072,26937,20635
1073,26892,20675
1074,26848,20715
1075,26803,20755
1076,26758,20795
1077,26713,20835
1078,26668,20875
1079,26624,20915
1080,26579,20955
1081,26534,20995
1082,26490,21035
1083,26445,21075
1084,26400,21115
1085,26356,21155
1086,26311,21195
1087,26266,21235
1088,26222,21275
1089,26177,21315
1090,26132,21355
1091,26088,21395
1092,26043,21435
1093,25998,21475
1094,25954,21515
1095,25909,21555
1096,25864,21595
1097,25820,21635
1098,25775,21675
1099,25730,21715
1100,25685,21755
1101,25640,21795
1102,25596,21835
1103,25551,21875
1104,25506,21915
1105,25462,21955
1106,25417,21995
1107,25372,22035
1108,25328,22075
1109,25283,22115
1110,25238,22155
1111,25194,22195
1112,25149,22235
1113,25104,22275
1114,25060,22315
1115,25015,22355
1116,24970,22395
1117,24926,22435
1118,24881,22475
1119,24836,22515
1120,24792,22555
1121,24747,22595
1122,24702,22635
1123,24657,22675
1124,24613,22715
